Object,Affordance,Question0,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14
Backpack,carry,"if you were to carry this backpack, which points of this backpack would you use for carrying ?",in which areas on this backpack should a person carry to do it comfortably and safely ?,ideal carrying spot on backpack ?,"considering the structure of this backpack, what area would be most stable for carrying ?",which part of this backpack allows for the most efficient carrying ?,where to carry this backpack ?,what is the best way to carry this backpack ?,where on this backpack can you carry ?,is there another way to carry this backpack ?,which points on this backpack are meant for carrying ?,which carrying point on this backpack do you prefer ?,how would you carry this backpack to keep it steady ?,what part of this backpack makes carrying possible ?,identify the key points on this backpack that support carrying.,describe where you would carry this backpack and why that spot works.
Bag,contain,"if you were to put things in this bag, which points of this bag would you use for containing ?",in which areas on this bag should a person put things to do it comfortably and safely ?,ideal containing spot on bag ?,"considering the structure of this bag, what area would be most stable for containing ?",which part of this bag allows for the most efficient containing ?,where to put things in this bag ?,what is the best way to put things in this bag ?,where on this bag can you put things ?,is there another way to put things in this bag ?,which points on this bag are meant for containing ?,which containing point on this bag do you prefer ?,how would you put things in this bag to keep it steady ?,what part of this bag makes containing possible ?,identify the key points on this bag that support containing.,describe where you would put things in this bag and why that spot works.
Bag,grasp,"if you were to grasp this bag, which points of this bag would you use for grasping ?",in which areas on this bag should a person grasp to do it comfortably and safely ?,ideal grasping spot on bag ?,"considering the structure of this bag, what area would be most stable for grasping ?",which part of this bag allows for the most efficient grasping ?,where to grasp this bag ?,what is the best way to grasp this bag ?,where on this bag can you grasp ?,is there another way to grasp this bag ?,which points on this bag are meant for grasping ?,which grasping point on this bag do you prefer ?,how would you grasp this bag to keep it steady ?,what part of this bag makes grasping possible ?,identify the key points on this bag that support grasping.,describe where you would grasp this bag and why that spot works.
Bag,lift,"if you were to lift this bag, which points of this bag would you use for lifting ?",in which areas on this bag should a person lift to do it comfortably and safely ?,ideal lifting spot on bag ?,"considering the structure of this bag, what area would be most stable for lifting ?",which part of this bag allows for the most efficient lifting ?,where to lift this bag ?,what is the best way to lift this bag ?,where on this bag can you lift ?,is there another way to lift this bag ?,which points on this bag are meant for lifting ?,which lifting point on this bag do you prefer ?,how would you lift this bag to keep it steady ?,what part of this bag makes lifting possible ?,identify the key points on this bag that support lifting.,describe where you would lift this bag and why that spot works.
Bag,open,"if you were to open this bag, which points of this bag would you use for opening ?",in which areas on this bag should a person open to do it comfortably and safely ?,ideal opening spot on bag ?,"considering the structure of this bag, what area would be most stable for opening ?",which part of this bag allows for the most efficient opening ?,where to open this bag ?,what is the best way to open this bag ?,where on this bag can you open ?,is there another way to open this bag ?,which points on this bag are meant for opening ?,which opening point on this bag do you prefer ?,how would you open this bag to keep it steady ?,what part of this bag makes opening possible ?,identify the key points on this bag that support opening.,describe where you would open this bag and why that spot works.
Baseballbat,wrapgrasp,"if you were to grip this baseball bat, which points of this baseball bat would you use for gripping ?",in which areas on this baseball bat should a person grip to do it comfortably and safely ?,ideal gripping spot on baseball bat ?,"considering the structure of this baseball bat, what area would be most stable for gripping ?",which part of this baseball bat allows for the most efficient gripping ?,where to grip this baseball bat ?,what is the best way to grip this baseball bat ?,where on this baseball bat can you grip ?,is there another way to grip this baseball bat ?,which points on this baseball bat are meant for gripping ?,which gripping point on this baseball bat do you prefer ?,how would you grip this baseball bat to keep it steady ?,what part of this baseball bat makes gripping possible ?,identify the key points on this baseball bat that support gripping.,describe where you would grip this baseball bat and why that spot works.
Bed,lay,"if you were to lie on this bed, which points of this bed would you use for lying ?",in which areas on this bed should a person lie to do it comfortably and safely ?,ideal lying spot on bed ?,"considering the structure of this bed, what area would be most stable for lying ?",which part of this bed allows for the most efficient lying ?,where to lie on this bed ?,what is the best way to lie on this bed ?,where on this bed can you lie ?,is there another way to lie on this bed ?,which points on this bed are meant for lying ?,which lying point on this bed do you prefer ?,how would you lie on this bed to keep it steady ?,what part of this bed makes lying possible ?,identify the key points on this bed that support lying.,describe where you would lie on this bed and why that spot works.
Bed,sit,"if you were to sit on this bed, which points of this bed would you use for sitting ?",in which areas on this bed should a person sit to do it comfortably and safely ?,ideal sitting spot on bed ?,"considering the structure of this bed, what area would be most stable for sitting ?",which part of this bed allows for the most efficient sitting ?,where to sit on this bed ?,what is the best way to sit on this bed ?,where on this bed can you sit ?,is there another way to sit on this bed ?,which points on this bed are meant for sitting ?,which sitting point on this bed do you prefer ?,how would you sit on this bed to keep it steady ?,what part of this bed makes sitting possible ?,identify the key points on this bed that support sitting.,describe where you would sit on this bed and why that spot works.
Bicycle,ride,"if you were to ride this bicycle, which points of this bicycle would you use for riding ?",in which areas on this bicycle should a person ride to do it comfortably and safely ?,ideal riding spot on bicycle ?,"considering the structure of this bicycle, what area would be most stable for riding ?",which part of this bicycle allows for the most efficient riding ?,where to ride this bicycle ?,what is the best way to ride this bicycle ?,where on this bicycle can you ride ?,is there another way to ride this bicycle ?,which points on this bicycle are meant for riding ?,which riding point on this bicycle do you prefer ?,how would you ride this bicycle to keep it steady ?,what part of this bicycle makes riding possible ?,identify the key points on this bicycle that support riding.,describe where you would ride this bicycle and why that spot works.
Bottle,contain,"if you were to put things in this bottle, which points of this bottle would you use for containing ?",in which areas on this bottle should a person put things to do it comfortably and safely ?,ideal containing spot on bottle ?,"considering the structure of this bottle, what area would be most stable for containing ?",which part of this bottle allows for the most efficient containing ?,where to put things in this bottle ?,what is the best way to put things in this bottle ?,where on this bottle can you put things ?,is there another way to put things in this bottle ?,which points on this bottle are meant for containing ?,which containing point on this bottle do you prefer ?,how would you put things in this bottle to keep it steady ?,what part of this bottle makes containing possible ?,identify the key points on this bottle that support containing.,describe where you would put things in this bottle and why that spot works.
Bottle,open,"if you were to open this bottle, which points of this bottle would you use for opening ?",in which areas on this bottle should a person open to do it comfortably and safely ?,ideal opening spot on bottle ?,"considering the structure of this bottle, what area would be most stable for opening ?",which part of this bottle allows for the most efficient opening ?,where to open this bottle ?,what is the best way to open this bottle ?,where on this bottle can you open ?,is there another way to open this bottle ?,which points on this bottle are meant for opening ?,which opening point on this bottle do you prefer ?,how would you open this bottle to keep it steady ?,what part of this bottle makes opening possible ?,identify the key points on this bottle that support opening.,describe where you would open this bottle and why that spot works.
Bottle,pour,"if you were to pour from this bottle, which points of this bottle would you use for pouring ?",in which areas on this bottle should a person pour to do it comfortably and safely ?,ideal pouring spot on bottle ?,"considering the structure of this bottle, what area would be most stable for pouring ?",which part of this bottle allows for the most efficient pouring ?,where to pour from this bottle ?,what is the best way to pour from this bottle ?,where on this bottle can you pour ?,is there another way to pour from this bottle ?,which points on this bottle are meant for pouring ?,which pouring point on this bottle do you prefer ?,how would you pour from this bottle to keep it steady ?,what part of this bottle makes pouring possible ?,identify the key points on this bottle that support pouring.,describe where you would pour from this bottle and why that spot works.
Bottle,wrapgrasp,"if you were to grip this bottle, which points of this bottle would you use for gripping ?",in which areas on this bottle should a person grip to do it comfortably and safely ?,ideal gripping spot on bottle ?,"considering the structure of this bottle, what area would be most stable for gripping ?",which part of this bottle allows for the most efficient gripping ?,where to grip this bottle ?,what is the best way to grip this bottle ?,where on this bottle can you grip ?,is there another way to grip this bottle ?,which points on this bottle are meant for gripping ?,which gripping point on this bottle do you prefer ?,how would you grip this bottle to keep it steady ?,what part of this bottle makes gripping possible ?,identify the key points on this bottle that support gripping.,describe where you would grip this bottle and why that spot works.
Bowl,contain,"if you were to put things in this bowl, which points of this bowl would you use for containing ?",in which areas on this bowl should a person put things to do it comfortably and safely ?,ideal containing spot on bowl ?,"considering the structure of this bowl, what area would be most stable for containing ?",which part of this bowl allows for the most efficient containing ?,where to put things in this bowl ?,what is the best way to put things in this bowl ?,where on this bowl can you put things ?,is there another way to put things in this bowl ?,which points on this bowl are meant for containing ?,which containing point on this bowl do you prefer ?,how would you put things in this bowl to keep it steady ?,what part of this bowl makes containing possible ?,identify the key points on this bowl that support containing.,describe where you would put things in this bowl and why that spot works.
Bowl,wrapgrasp,"if you were to grip this bowl, which points of this bowl would you use for gripping ?",in which areas on this bowl should a person grip to do it comfortably and safely ?,ideal gripping spot on bowl ?,"considering the structure of this bowl, what area would be most stable for gripping ?",which part of this bowl allows for the most efficient gripping ?,where to grip this bowl ?,what is the best way to grip this bowl ?,where on this bowl can you grip ?,is there another way to grip this bowl ?,which points on this bowl are meant for gripping ?,which gripping point on this bowl do you prefer ?,how would you grip this bowl to keep it steady ?,what part of this bowl makes gripping possible ?,identify the key points on this bowl that support gripping.,describe where you would grip this bowl and why that spot works.
Broom,clean,"if you were to clean with this broom, which points of this broom would you use for cleaning ?",in which areas on this broom should a person clean to do it comfortably and safely ?,ideal cleaning spot on broom ?,"considering the structure of this broom, what area would be most stable for cleaning ?",which part of this broom allows for the most efficient cleaning ?,where to clean with this broom ?,what is the best way to clean with this broom ?,where on this broom can you clean ?,is there another way to clean with this broom ?,which points on this broom are meant for cleaning ?,which cleaning point on this broom do you prefer ?,how would you clean with this broom to keep it steady ?,what part of this broom makes cleaning possible ?,identify the key points on this broom that support cleaning.,describe where you would clean with this broom and why that spot works.
Broom,wrapgrasp,"if you were to grip this broom, which points of this broom would you use for gripping ?",in which areas on this broom should a person grip to do it comfortably and safely ?,ideal gripping spot on broom ?,"considering the structure of this broom, what area would be most stable for gripping ?",which part of this broom allows for the most efficient gripping ?,where to grip this broom ?,what is the best way to grip this broom ?,where on this broom can you grip ?,is there another way to grip this broom ?,which points on this broom are meant for gripping ?,which gripping point on this broom do you prefer ?,how would you grip this broom to keep it steady ?,what part of this broom makes gripping possible ?,identify the key points on this broom that support gripping.,describe where you would grip this broom and why that spot works.
Bucket,contain,"if you were to put things in this bucket, which points of this bucket would you use for containing ?",in which areas on this bucket should a person put things to do it comfortably and safely ?,ideal containing spot on bucket ?,"considering the structure of this bucket, what area would be most stable for containing ?",which part of this bucket allows for the most efficient containing ?,where to put things in this bucket ?,what is the best way to put things in this bucket ?,where on this bucket can you put things ?,is there another way to put things in this bucket ?,which points on this bucket are meant for containing ?,which containing point on this bucket do you prefer ?,how would you put things in this bucket to keep it steady ?,what part of this bucket makes containing possible ?,identify the key points on this bucket that support containing.,describe where you would put things in this bucket and why that spot works.
Bucket,lift,"if you were to lift this bucket, which points of this bucket would you use for lifting ?",in which areas on this bucket should a person lift to do it comfortably and safely ?,ideal lifting spot on bucket ?,"considering the structure of this bucket, what area would be most stable for lifting ?",which part of this bucket allows for the most efficient lifting ?,where to lift this bucket ?,what is the best way to lift this bucket ?,where on this bucket can you lift ?,is there another way to lift this bucket ?,which points on this bucket are meant for lifting ?,which lifting point on this bucket do you prefer ?,how would you lift this bucket to keep it steady ?,what part of this bucket makes lifting possible ?,identify the key points on this bucket that support lifting.,describe where you would lift this bucket and why that spot works.
Chair,move,"if you were to move this chair, which points of this chair would you use for moving ?",in which areas on this chair should a person move to do it comfortably and safely ?,ideal moving spot on chair ?,"considering the structure of this chair, what area would be most stable for moving ?",which part of this chair allows for the most efficient moving ?,where to move this chair ?,what is the best way to move this chair ?,where on this chair can you move ?,is there another way to move this chair ?,which points on this chair are meant for moving ?,which moving point on this chair do you prefer ?,how would you move this chair to keep it steady ?,what part of this chair makes moving possible ?,identify the key points on this chair that support moving.,describe where you would move this chair and why that spot works.
Chair,sit,"if you were to sit on this chair, which points of this chair would you use for sitting ?",in which areas on this chair should a person sit to do it comfortably and safely ?,ideal sitting spot on chair ?,"considering the structure of this chair, what area would be most stable for sitting ?",which part of this chair allows for the most efficient sitting ?,where to sit on this chair ?,what is the best way to sit on this chair ?,where on this chair can you sit ?,is there another way to sit on this chair ?,which points on this chair are meant for sitting ?,which sitting point on this chair do you prefer ?,how would you sit on this chair to keep it steady ?,what part of this chair makes sitting possible ?,identify the key points on this chair that support sitting.,describe where you would sit on this chair and why that spot works.
Clock,display,"if you were to display this clock, which points of this clock would you use for displaying ?",in which areas on this clock should a person display to do it comfortably and safely ?,ideal displaying spot on clock ?,"considering the structure of this clock, what area would be most stable for displaying ?",which part of this clock allows for the most efficient displaying ?,where to display this clock ?,what is the best way to display this clock ?,where on this clock can you display ?,is there another way to display this clock ?,which points on this clock are meant for displaying ?,which displaying point on this clock do you prefer ?,how would you display this clock to keep it steady ?,what part of this clock makes displaying possible ?,identify the key points on this clock that support displaying.,describe where you would display this clock and why that spot works.
Dishwasher,contain,"if you were to put things in this dishwasher, which points of this dishwasher would you use for containing ?",in which areas on this dishwasher should a person put things to do it comfortably and safely ?,ideal containing spot on dishwasher ?,"considering the structure of this dishwasher, what area would be most stable for containing ?",which part of this dishwasher allows for the most efficient containing ?,where to put things in this dishwasher ?,what is the best way to put things in this dishwasher ?,where on this dishwasher can you put things ?,is there another way to put things in this dishwasher ?,which points on this dishwasher are meant for containing ?,which containing point on this dishwasher do you prefer ?,how would you put things in this dishwasher to keep it steady ?,what part of this dishwasher makes containing possible ?,identify the key points on this dishwasher that support containing.,describe where you would put things in this dishwasher and why that spot works.
Dishwasher,open,"if you were to open this dishwasher, which points of this dishwasher would you use for opening ?",in which areas on this dishwasher should a person open to do it comfortably and safely ?,ideal opening spot on dishwasher ?,"considering the structure of this dishwasher, what area would be most stable for opening ?",which part of this dishwasher allows for the most efficient opening ?,where to open this dishwasher ?,what is the best way to open this dishwasher ?,where on this dishwasher can you open ?,is there another way to open this dishwasher ?,which points on this dishwasher are meant for opening ?,which opening point on this dishwasher do you prefer ?,how would you open this dishwasher to keep it steady ?,what part of this dishwasher makes opening possible ?,identify the key points on this dishwasher that support opening.,describe where you would open this dishwasher and why that spot works.
Display,display,"if you were to display this display, which points of this display would you use for displaying ?",in which areas on this display should a person display to do it comfortably and safely ?,ideal displaying spot on display ?,"considering the structure of this display, what area would be most stable for displaying ?",which part of this display allows for the most efficient displaying ?,where to display this display ?,what is the best way to display this display ?,where on this display can you display ?,is there another way to display this display ?,which points on this display are meant for displaying ?,which displaying point on this display do you prefer ?,how would you display this display to keep it steady ?,what part of this display makes displaying possible ?,identify the key points on this display that support displaying.,describe where you would display this display and why that spot works.
Door,open,"if you were to open this door, which points of this door would you use for opening ?",in which areas on this door should a person open to do it comfortably and safely ?,ideal opening spot on door ?,"considering the structure of this door, what area would be most stable for opening ?",which part of this door allows for the most efficient opening ?,where to open this door ?,what is the best way to open this door ?,where on this door can you open ?,is there another way to open this door ?,which points on this door are meant for opening ?,which opening point on this door do you prefer ?,how would you open this door to keep it steady ?,what part of this door makes opening possible ?,identify the key points on this door that support opening.,describe where you would open this door and why that spot works.
Door,push,"if you were to push this door, which points of this door would you use for pushing ?",in which areas on this door should a person push to do it comfortably and safely ?,ideal pushing spot on door ?,"considering the structure of this door, what area would be most stable for pushing ?",which part of this door allows for the most efficient pushing ?,where to push this door ?,what is the best way to push this door ?,where on this door can you push ?,is there another way to push this door ?,which points on this door are meant for pushing ?,which pushing point on this door do you prefer ?,how would you push this door to keep it steady ?,what part of this door makes pushing possible ?,identify the key points on this door that support pushing.,describe where you would push this door and why that spot works.
Earphone,grasp,"if you were to grasp this earphone, which points of this earphone would you use for grasping ?",in which areas on this earphone should a person grasp to do it comfortably and safely ?,ideal grasping spot on earphone ?,"considering the structure of this earphone, what area would be most stable for grasping ?",which part of this earphone allows for the most efficient grasping ?,where to grasp this earphone ?,what is the best way to grasp this earphone ?,where on this earphone can you grasp ?,is there another way to grasp this earphone ?,which points on this earphone are meant for grasping ?,which grasping point on this earphone do you prefer ?,how would you grasp this earphone to keep it steady ?,what part of this earphone makes grasping possible ?,identify the key points on this earphone that support grasping.,describe where you would grasp this earphone and why that spot works.
Earphone,listen,"if you were to listen to this earphone, which points of this earphone would you use for listening ?",in which areas on this earphone should a person listen to do it comfortably and safely ?,ideal listening spot on earphone ?,"considering the structure of this earphone, what area would be most stable for listening ?",which part of this earphone allows for the most efficient listening ?,where to listen to this earphone ?,what is the best way to listen to this earphone ?,where on this earphone can you listen ?,is there another way to listen to this earphone ?,which points on this earphone are meant for listening ?,which listening point on this earphone do you prefer ?,how would you listen to this earphone to keep it steady ?,what part of this earphone makes listening possible ?,identify the key points on this earphone that support listening.,describe where you would listen to this earphone and why that spot works.
Faucet,grasp,"if you were to grasp this faucet, which points of this faucet would you use for grasping ?",in which areas on this faucet should a person grasp to do it comfortably and safely ?,ideal grasping spot on faucet ?,"considering the structure of this faucet, what area would be most stable for grasping ?",which part of this faucet allows for the most efficient grasping ?,where to grasp this faucet ?,what is the best way to grasp this faucet ?,where on this faucet can you grasp ?,is there another way to grasp this faucet ?,which points on this faucet are meant for grasping ?,which grasping point on this faucet do you prefer ?,how would you grasp this faucet to keep it steady ?,what part of this faucet makes grasping possible ?,identify the key points on this faucet that support grasping.,describe where you would grasp this faucet and why that spot works.
Faucet,open,"if you were to open this faucet, which points of this faucet would you use for opening ?",in which areas on this faucet should a person open to do it comfortably and safely ?,ideal opening spot on faucet ?,"considering the structure of this faucet, what area would be most stable for opening ?",which part of this faucet allows for the most efficient opening ?,where to open this faucet ?,what is the best way to open this faucet ?,where on this faucet can you open ?,is there another way to open this faucet ?,which points on this faucet are meant for opening ?,which opening point on this faucet do you prefer ?,how would you open this faucet to keep it steady ?,what part of this faucet makes opening possible ?,identify the key points on this faucet that support opening.,describe where you would open this faucet and why that spot works.
Fork,stab,"if you were to stab with this fork, which points of this fork would you use for stabbing ?",in which areas on this fork should a person stab to do it comfortably and safely ?,ideal stabbing spot on fork ?,"considering the structure of this fork, what area would be most stable for stabbing ?",which part of this fork allows for the most efficient stabbing ?,where to stab with this fork ?,what is the best way to stab with this fork ?,where on this fork can you stab ?,is there another way to stab with this fork ?,which points on this fork are meant for stabbing ?,which stabbing point on this fork do you prefer ?,how would you stab with this fork to keep it steady ?,what part of this fork makes stabbing possible ?,identify the key points on this fork that support stabbing.,describe where you would stab with this fork and why that spot works.
Fork,wrapgrasp,"if you were to grip this fork, which points of this fork would you use for gripping ?",in which areas on this fork should a person grip to do it comfortably and safely ?,ideal gripping spot on fork ?,"considering the structure of this fork, what area would be most stable for gripping ?",which part of this fork allows for the most efficient gripping ?,where to grip this fork ?,what is the best way to grip this fork ?,where on this fork can you grip ?,is there another way to grip this fork ?,which points on this fork are meant for gripping ?,which gripping point on this fork do you prefer ?,how would you grip this fork to keep it steady ?,what part of this fork makes gripping possible ?,identify the key points on this fork that support gripping.,describe where you would grip this fork and why that spot works.
Glasses,wear,"if you were to wear these glasses, which points of these glasses would you use for wearing ?",in which areas on these glasses should a person wear to do it comfortably and safely ?,ideal wearing spot on glasses ?,"considering the structure of these glasses, what area would be most stable for wearing ?",which part of these glasses allows for the most efficient wearing ?,where to wear these glasses ?,what is the best way to wear these glasses ?,where on these glasses can you wear ?,is there another way to wear these glasses ?,which points on these glasses are meant for wearing ?,which wearing point on these glasses do you prefer ?,how would you wear these glasses to keep it steady ?,what part of these glasses makes wearing possible ?,identify the key points on these glasses that support wearing.,describe where you would wear these glasses and why that spot works.
Guitar,play,"if you were to play this guitar, which points of this guitar would you use for playing ?",in which areas on this guitar should a person play to do it comfortably and safely ?,ideal playing spot on guitar ?,"considering the structure of this guitar, what area would be most stable for playing ?",which part of this guitar allows for the most efficient playing ?,where to play this guitar ?,what is the best way to play this guitar ?,where on this guitar can you play ?,is there another way to play this guitar ?,which points on this guitar are meant for playing ?,which playing point on this guitar do you prefer ?,how would you play this guitar to keep it steady ?,what part of this guitar makes playing possible ?,identify the key points on this guitar that support playing.,describe where you would play this guitar and why that spot works.
Hammer,beat,"if you were to beat with this hammer, which points of this hammer would you use for beating ?",in which areas on this hammer should a person beat to do it comfortably and safely ?,ideal beating spot on hammer ?,"considering the structure of this hammer, what area would be most stable for beating ?",which part of this hammer allows for the most efficient beating ?,where to beat with this hammer ?,what is the best way to beat with this hammer ?,where on this hammer can you beat ?,is there another way to beat with this hammer ?,which points on this hammer are meant for beating ?,which beating point on this hammer do you prefer ?,how would you beat with this hammer to keep it steady ?,what part of this hammer makes beating possible ?,identify the key points on this hammer that support beating.,describe where you would beat with this hammer and why that spot works.
Hammer,wrapgrasp,"if you were to grip this hammer, which points of this hammer would you use for gripping ?",in which areas on this hammer should a person grip to do it comfortably and safely ?,ideal gripping spot on hammer ?,"considering the structure of this hammer, what area would be most stable for gripping ?",which part of this hammer allows for the most efficient gripping ?,where to grip this hammer ?,what is the best way to grip this hammer ?,where on this hammer can you grip ?,is there another way to grip this hammer ?,which points on this hammer are meant for gripping ?,which gripping point on this hammer do you prefer ?,how would you grip this hammer to keep it steady ?,what part of this hammer makes gripping possible ?,identify the key points on this hammer that support gripping.,describe where you would grip this hammer and why that spot works.
Hat,wear,"if you were to wear this hat, which points of this hat would you use for wearing ?",in which areas on this hat should a person wear to do it comfortably and safely ?,ideal wearing spot on hat ?,"considering the structure of this hat, what area would be most stable for wearing ?",which part of this hat allows for the most efficient wearing ?,where to wear this hat ?,what is the best way to wear this hat ?,where on this hat can you wear ?,is there another way to wear this hat ?,which points on this hat are meant for wearing ?,which wearing point on this hat do you prefer ?,how would you wear this hat to keep it steady ?,what part of this hat makes wearing possible ?,identify the key points on this hat that support wearing.,describe where you would wear this hat and why that spot works.
Kettle,contain,"if you were to put things in this kettle, which points of this kettle would you use for containing ?",in which areas on this kettle should a person put things to do it comfortably and safely ?,ideal containing spot on kettle ?,"considering the structure of this kettle, what area would be most stable for containing ?",which part of this kettle allows for the most efficient containing ?,where to put things in this kettle ?,what is the best way to put things in this kettle ?,where on this kettle can you put things ?,is there another way to put things in this kettle ?,which points on this kettle are meant for containing ?,which containing point on this kettle do you prefer ?,how would you put things in this kettle to keep it steady ?,what part of this kettle makes containing possible ?,identify the key points on this kettle that support containing.,describe where you would put things in this kettle and why that spot works.
Kettle,grasp,"if you were to grasp this kettle, which points of this kettle would you use for grasping ?",in which areas on this kettle should a person grasp to do it comfortably and safely ?,ideal grasping spot on kettle ?,"considering the structure of this kettle, what area would be most stable for grasping ?",which part of this kettle allows for the most efficient grasping ?,where to grasp this kettle ?,what is the best way to grasp this kettle ?,where on this kettle can you grasp ?,is there another way to grasp this kettle ?,which points on this kettle are meant for grasping ?,which grasping point on this kettle do you prefer ?,how would you grasp this kettle to keep it steady ?,what part of this kettle makes grasping possible ?,identify the key points on this kettle that support grasping.,describe where you would grasp this kettle and why that spot works.
Kettle,open,"if you were to open this kettle, which points of this kettle would you use for opening ?",in which areas on this kettle should a person open to do it comfortably and safely ?,ideal opening spot on kettle ?,"considering the structure of this kettle, what area would be most stable for opening ?",which part of this kettle allows for the most efficient opening ?,where to open this kettle ?,what is the best way to open this kettle ?,where on this kettle can you open ?,is there another way to open this kettle ?,which points on this kettle are meant for opening ?,which opening point on this kettle do you prefer ?,how would you open this kettle to keep it steady ?,what part of this kettle makes opening possible ?,identify the key points on this kettle that support opening.,describe where you would open this kettle and why that spot works.
